time_s,position_mm,velocity_m_per_s,source_charge_nC,source_current_uA,load_current_uA,voltage_V,power_mW,energy_uJ
8.470235038443e-02,1.434897632129e+01,3.388094015377e-01,4.237468431657e+00,6.860155065715e-01,-6.872892452789e-01,-6.872892452789e+02,4.723665066760e-01,9.264978156507e+01
8.477172167876e-02,1.437248959276e+01,3.390868867151e-01,4.284871510369e+00,6.806385205823e-01,-6.864420931086e-01,-6.864420931086e+02,4.712027471913e-01,9.268250987529e+01
8.484109297310e-02,1.439602211374e+01,3.393643718924e-01,4.331901981953e+00,6.752731056152e-01,-6.855987843853e-01,-6.855987843853e+02,4.700456931506e-01,9.271515768659e+01
8.491046426743e-02,1.441957388422e+01,3.396418570697e-01,4.378560649103e+00,6.699192616689e-01,-6.847593095816e-01,-6.847593095816e+02,4.688953120587e-01,9.274772546301e+01
8.497983556177e-02,1.444314490421e+01,3.399193422471e-01,4.424848314518e+00,6.645769887446e-01,-6.839236591760e-01,-6.839236591760e+02,4.677515715807e-01,9.278021366633e+01
8.504920685611e-02,1.446673517371e+01,3.401968274244e-01,4.470765780894e+00,6.592462868420e-01,-6.830918236529e-01,-6.830918236529e+02,4.666144395415e-01,9.281262275612e+01
8.511857815044e-02,1.449034469271e+01,3.404743126018e-01,4.516313850927e+00,6.539271559612e-01,-6.822637935026e-01,-6.822637935026e+02,4.654838839245e-01,9.284495318969e+01
8.518794944478e-02,1.451397346121e+01,3.407517977791e-01,4.561493327315e+00,6.486195961019e-01,-6.814395592211e-01,-6.814395592211e+02,4.643598728714e-01,9.287720542216e+01
8.525732073912e-02,1.453762147922e+01,3.410292829565e-01,4.606305012754e+00,6.433236072643e-01,-6.806191113105e-01,-6.806191113105e+02,4.632423746810e-01,9.290937990644e+01
8.532669203345e-02,1.456128874674e+01,3.413067681338e-01,4.650749709941e+00,6.380391894483e-01,-6.798024402786e-01,-6.798024402786e+02,4.621313578088e-01,9.294147709322e+01
8.539606332779e-02,1.458497526377e+01,3.415842533112e-01,4.694828221572e+00,6.327663426544e-01,-6.789895366393e-01,-6.789895366393e+02,4.610267908657e-01,9.297349743104e+01
8.546543462212e-02,1.460868103030e+01,3.418617384885e-01,4.738541350345e+00,6.275050668813e-01,-6.781803909122e-01,-6.781803909122e+02,4.599286426178e-01,9.300544136627e+01
8.553480591646e-02,1.463240604633e+01,3.421392236658e-01,4.781889898956e+00,6.222553621303e-01,-6.773749936226e-01,-6.773749936226e+02,4.588368819852e-01,9.303730934308e+01
