time_s,source_charge_centered_nC,transfer_charge_from_start_nC
6.252434758516e-01,1.172361250250e+02,-4.673782809056e+01
6.253128471460e-01,1.172317371268e+02,-4.674221598878e+01
6.253822184403e-01,1.172273492286e+02,-4.674660388700e+01
6.254515897346e-01,1.172229613304e+02,-4.675099178521e+01
6.255209610290e-01,1.172185734322e+02,-4.675537968343e+01
6.255903323233e-01,1.172141855340e+02,-4.675976758165e+01
6.256597036176e-01,1.172097976357e+02,-4.676415547986e+01
6.257290749120e-01,1.172054097375e+02,-4.676854337808e+01
6.257984462063e-01,1.172010218393e+02,-4.677293127630e+01
6.258678175007e-01,1.171966339411e+02,-4.677731917451e+01
6.259371887950e-01,1.171922460429e+02,-4.678170707273e+01
6.260065600893e-01,1.171878581447e+02,-4.678609497095e+01
6.260759313837e-01,1.171834702464e+02,-4.679048286916e+01
6.261453026780e-01,1.171790823482e+02,-4.679487076738e+01
6.262146739723e-01,1.171746944500e+02,-4.679925866560e+01
6.262840452667e-01,1.171703065518e+02,-4.680364656381e+01
6.263534165610e-01,1.171659186536e+02,-4.680803446203e+01
6.264227878553e-01,1.171615307554e+02,-4.681242236025e+01
6.264921591497e-01,1.171571428571e+02,-4.681681025846e+01
6.265615304440e-01,1.171527549589e+02,-4.682119815668e+01
6.266309017383e-01,1.171483670607e+02,-4.682558605490e+01
6.267002730327e-01,1.171439791625e+02,-4.682997395312e+01
6.267696443270e-01,1.171395912643e+02,-4.683436185133e+01
6.268390156214e-01,1.171352033661e+02,-4.683874974955e+01
6.269083869157e-01,1.171308154678e+02,-4.684313764777e+01
6.269777582100e-01,1.171264275696e+02,-4.684752554598e+01
6.270471295044e-01,1.171220396714e+02,-4.685191344420e+01
6.271165007987e-01,1.171176517732e+02,-4.685630134242e+01
6.271858720930e-01,1.171132638750e+02,-4.686068924063e+01
6.272552433874e-01,1.171088759768e+02,-4.686507713885e+01
6.273246146817e-01,1.171044880785e+02,-4.686946503707e+01
6.273939859760e-01,1.171001001803e+02,-4.687385293528e+01
6.274633572704e-01,1.170957122821e+02,-4.687824083350e+01
6.275327285647e-01,1.170913243839e+02,-4.688262873172e+01
6.276020998591e-01,1.170869364857e+02,-4.688701662993e+01
6.276714711534e-01,1.170825485875e+02,-4.689140452815e+01
6.277408424477e-01,1.170781606892e+02,-4.689579242637e+01
6.278102137421e-01,1.170737727910e+02,-4.690018032458e+01
6.278795850364e-01,1.170693848928e+02,-4.690456822280e+01
6.279489563307e-01,1.170649969946e+02,-4.690895612102e+01
6.280183276251e-01,1.170606090964e+02,-4.691334401923e+01
6.280876989194e-01,1.170562211982e+02,-4.691773191745e+01
6.281570702137e-01,1.170518332999e+02,-4.692211981567e+01
6.282264415081e-01,1.170474454017e+02,-4.692650771388e+01
6.282958128024e-01,1.170430575035e+02,-4.693089561210e+01
6.283651840968e-01,1.170386696053e+02,-4.693528351032e+01
6.284345553911e-01,1.170342817071e+02,-4.693967140854e+01
6.285039266854e-01,1.170298938089e+02,-4.694405930675e+01
6.285732979798e-01,1.170255059106e+02,-4.694844720497e+01
6.286426692741e-01,1.170211180124e+02,-4.695283510319e+01
6.287120405684e-01,1.170167301142e+02,-4.695722300140e+01
6.287814118628e-01,1.170123422160e+02,-4.696161089962e+01
6.288507831571e-01,1.170079543178e+02,-4.696599879784e+01
6.289201544514e-01,1.170035664196e+02,-4.697038669605e+01
6.289895257458e-01,1.169991785213e+02,-4.697477459427e+01
6.290588970401e-01,1.169947906231e+02,-4.697916249249e+01
6.291282683345e-01,1.169904027249e+02,-4.698355039070e+01
6.291976396288e-01,1.169860148267e+02,-4.698793828892e+01
6.292670109231e-01,1.169816269285e+02,-4.699232618714e+01
6.293363822175e-01,1.169772390303e+02,-4.699671408535e+01
6.294057535118e-01,1.169728511320e+02,-4.700110198357e+01
6.294751248061e-01,1.169684632338e+02,-4.700548988179e+01
6.295444961005e-01,1.169640753356e+02,-4.700987778000e+01
6.296138673948e-01,1.169596874374e+02,-4.701426567822e+01
6.296832386891e-01,1.169552995392e+02,-4.701865357644e+01
6.297526099835e-01,1.169509116410e+02,-4.702304147465e+01
6.298219812778e-01,1.169465237427e+02,-4.702742937287e+01
6.298913525721e-01,1.169421358445e+02,-4.703181727109e+01
6.299607238665e-01,1.169377479463e+02,-4.703620516930e+01
6.300300951608e-01,1.169333600481e+02,-4.704059306752e+01
6.300994664552e-01,1.169289721499e+02,-4.704498096574e+01
6.301688377495e-01,1.169245842517e+02,-4.704936886395e+01
6.302382090438e-01,1.169201963534e+02,-4.705375676217e+01
6.303075803382e-01,1.169158084552e+02,-4.705814466039e+01
6.303769516325e-01,1.169114205570e+02,-4.706253255861e+01
6.304463229268e-01,1.169070326588e+02,-4.706692045682e+01
6.305156942212e-01,1.169026447606e+02,-4.707130835504e+01
6.305850655155e-01,1.168982568624e+02,-4.707569625326e+01
6.306544368098e-01,1.168938689641e+02,-4.708008415147e+01
6.307238081042e-01,1.168894810659e+02,-4.708447204969e+01
6.307931793985e-01,1.168850931677e+02,-4.708885994791e+01
6.308625506929e-01,1.168807052695e+02,-4.709324784612e+01
6.309319219872e-01,1.168763173713e+02,-4.709763574434e+01
6.310012932815e-01,1.168719294731e+02,-4.710202364256e+01
6.310706645759e-01,1.168675415748e+02,-4.710641154077e+01
6.311400358702e-01,1.168631536766e+02,-4.711079943899e+01
6.312094071645e-01,1.168587657784e+02,-4.711518733721e+01
6.312787784589e-01,1.168543778802e+02,-4.711957523542e+01
6.313481497532e-01,1.168499899820e+02,-4.712396313364e+01
6.314175210475e-01,1.168456020838e+02,-4.712835103186e+01
6.314868923419e-01,1.168412141855e+02,-4.713273893007e+01
6.315562636362e-01,1.168368262873e+02,-4.713712682829e+01
6.316256349306e-01,1.168324383891e+02,-4.714151472651e+01
6.316950062249e-01,1.168280504909e+02,-4.714590262472e+01
6.317643775192e-01,1.168236625927e+02,-4.715029052294e+01
6.318337488136e-01,1.168192746945e+02,-4.715467842116e+01
6.319031201079e-01,1.168314766580e+02,-4.714247645762e+01
6.319724914022e-01,1.168436786215e+02,-4.713027449409e+01
6.320418626966e-01,1.168558805851e+02,-4.711807253055e+01
6.321112339909e-01,1.168680825486e+02,-4.710587056702e+01
6.321806052852e-01,1.168802845121e+02,-4.709366860349e+01
