time_s,position_m,motion_velocity_m_per_s,source_charge_C,short_circuit_current_A
0.37098494457708,0.0980200369307281,-0.140711160512302,6.40656176542109e-07,-8.47849527953237e-07
0.371039589582909,0.09801234030335,-0.14098438554145,6.40609744967072e-07,-8.51539989236502e-07
0.371094234588739,0.0980046287455885,-0.141257610570598,6.40563111315068e-07,-8.55245518273319e-07
0.371148879594568,0.0979969022574438,-0.141530835599746,6.4051627476127e-07,-8.58966168131305e-07
0.371203524600398,0.0979891608389157,-0.141804060628894,6.40469234477947e-07,-8.62701991985529e-07
0.371258169606227,0.0979814044900043,-0.142077285658042,6.4042198963446e-07,-8.66453043117919e-07
0.371312814612057,0.0979736332107096,-0.14235051068719,6.40374539397256e-07,-8.70219374916689e-07
0.371367459617887,0.0979658470010316,-0.142623735716338,6.40326882929862e-07,-8.74001040875722e-07
0.371422104623716,0.0979580458609703,-0.142896960745486,6.40279019392877e-07,-8.7779809459399e-07
0.371476749629546,0.0979502297905257,-0.143170185774634,6.4023094794397e-07,-8.81610589774921e-07
0.371531394635375,0.0979423987896978,-0.143443410803782,6.40182667737872e-07,-8.85438580225774e-07
0.371586039641205,0.0979345528584865,-0.14371663583293,6.40134177926371e-07,-8.89282119857017e-07
0.371640684647035,0.097926691996892,-0.143989860862078,6.40085477658306e-07,-8.9314126268164e-07
0.371695329652864,0.0979188162049141,-0.144263085891226,6.40036566079562e-07,-8.97016062814539e-07
0.371749974658694,0.0979109254825529,-0.144536310920373,6.39987442333065e-07,-9.00906574471821e-07
0.371804619664523,0.0979030198298084,-0.144809535949522,6.39938105558772e-07,-9.04812851970132e-07
0.371859264670353,0.0978950992466806,-0.14508276097867,6.39888554893674e-07,-9.0873494972595e-07
0.371913909676183,0.0978871637331695,-0.145355986007817,6.39838789471783e-07,-9.12672922254903e-07
0.371968554682012,0.0978792132892751,-0.145629211036965,6.39788808424129e-07,-9.16626824171041e-07
0.372023199687842,0.0978712479149974,-0.145902436066113,6.39738610878757e-07,-9.20596710186115e-07
0.372077844693671,0.0978632676103363,-0.146175661095261,6.39688195960716e-07,-9.24582635108823e-07
0.372132489699501,0.097855272375292,-0.146448886124409,6.39637562792062e-07,-9.2858465384409e-07
0.372187134705331,0.0978472622098643,-0.146722111153557,6.39586710491845e-07,-9.32602821392287e-07
0.37224177971116,0.0978392371140533,-0.146995336182705,6.39535638176108e-07,-9.36637192848452e-07
