time_s,short_circuit_current_A,integrated_transferred_charge_C,short_circuit_current_uA,integrated_transferred_charge_nC
3.478154621053e-01,-1.222217892977e-07,6.478956333438e-07,-1.222217892977e-01,6.478956333438e+02
3.478701071112e-01,-1.228094139701e-07,6.478889384781e-07,-1.228094139701e-01,6.478889384781e+02
3.479247521170e-01,-1.233995752611e-07,6.478822114322e-07,-1.233995752611e-01,6.478822114322e+02
3.479793971228e-01,-1.239922850851e-07,6.478754520674e-07,-1.239922850851e-01,6.478754520674e+02
3.480340421287e-01,-1.245875554052e-07,6.478686602440e-07,-1.245875554052e-01,6.478686602440e+02
3.480886871345e-01,-1.251853982333e-07,6.478618358217e-07,-1.251853982333e-01,6.478618358217e+02
3.481433321403e-01,-1.257858256306e-07,6.478549786598e-07,-1.257858256306e-01,6.478549786598e+02
3.481979771461e-01,-1.263888497073e-07,6.478480886165e-07,-1.263888497073e-01,6.478480886165e+02
3.482526221520e-01,-1.269944826233e-07,6.478411655496e-07,-1.269944826233e-01,6.478411655496e+02
3.483072671578e-01,-1.276027365882e-07,6.478342093163e-07,-1.276027365882e-01,6.478342093163e+02
3.483619121636e-01,-1.282136238614e-07,6.478272197731e-07,-1.282136238614e-01,6.478272197731e+02
3.484165571695e-01,-1.288271567525e-07,6.478201967756e-07,-1.288271567525e-01,6.478201967756e+02
