normalized_time,experiment_charge_nC,simulation_charge_nC,difference_nC
1.810905452726e-01,-2.601068770119e+02,-3.107902570569e+02,-5.068338004498e+01
1.815907953977e-01,-2.595361089279e+02,-3.123246173534e+02,-5.278850842550e+01
1.820910455228e-01,-2.589983354412e+02,-3.138317550618e+02,-5.483341962066e+01
1.825912956478e-01,-2.585005314892e+02,-3.153118295604e+02,-5.681129807119e+01
1.830915457729e-01,-2.580481208339e+02,-3.167650148354e+02,-5.871689400153e+01
1.835917958979e-01,-2.576539324897e+02,-3.181914987550e+02,-6.053756626536e+01
1.840920460230e-01,-2.573155486978e+02,-3.195914823486e+02,-6.227593365084e+01
1.845922961481e-01,-2.570382429449e+02,-3.209651790929e+02,-6.392693614804e+01
1.850925462731e-01,-2.568294122796e+02,-3.223128142073e+02,-6.548340192776e+01
1.855927963982e-01,-2.566840619294e+02,-3.236346239585e+02,-6.695056202914e+01
1.860930465233e-01,-2.566075905687e+02,-3.249308549761e+02,-6.832326440741e+01
1.865932966483e-01,-2.566003167768e+02,-3.262017635806e+02,-6.960144680375e+01
1.870935467734e-01,-2.566570696082e+02,-3.274476151246e+02,-7.079054551637e+01
1.875937968984e-01,-2.567835885677e+02,-3.286686833479e+02,-7.188509478021e+01
1.880940470235e-01,-2.569751058264e+02,-3.298652497472e+02,-7.289014392088e+01
1.885942971486e-01,-2.572277716092e+02,-3.310376029619e+02,-7.380983135266e+01
1.890945472736e-01,-2.575473371920e+02,-3.321860381757e+02,-7.463870098362e+01
1.895947973987e-01,-2.579240847658e+02,-3.333108565350e+02,-7.538677176914e+01
1.900950475238e-01,-2.583564480475e+02,-3.344123645843e+02,-7.605591653681e+01
1.905952976488e-01,-2.588468582025e+02,-3.354908737197e+02,-7.664401551715e+01
1.910955477739e-01,-2.593865636553e+02,-3.365466996594e+02,-7.716013600413e+01
1.915957978989e-01,-2.599757013741e+02,-3.375801619330e+02,-7.760446055885e+01
1.920960480240e-01,-2.606123514992e+02,-3.385915833883e+02,-7.797923188916e+01
1.925962981491e-01,-2.612896661065e+02,-3.395812897171e+02,-7.829162361064e+01
1.930965482741e-01,-2.620079852661e+02,-3.405496089986e+02,-7.854162373251e+01
1.935967983992e-01,-2.627632728098e+02,-3.414968712619e+02,-7.873359845202e+01
1.940970485243e-01,-2.635511098283e+02,-3.424234080658e+02,-7.887229823741e+01
1.945972986493e-01,-2.643726311390e+02,-3.433295520977e+02,-7.895692095872e+01
1.950975487744e-01,-2.652225748109e+02,-3.442156367897e+02,-7.899306197885e+01
1.955977988994e-01,-2.660984029249e+02,-3.450819959523e+02,-7.898359302743e+01
1.960980490245e-01,-2.670004789629e+02,-3.459289634270e+02,-7.892848446410e+01
1.965982991496e-01,-2.679236538003e+02,-3.467568727539e+02,-7.883321895352e+01
1.970985492746e-01,-2.688665154812e+02,-3.475660568579e+02,-7.869954137669e+01
1.975987993997e-01,-2.698263248359e+02,-3.483568477514e+02,-7.853052291551e+01
1.980990495248e-01,-2.707963819644e+02,-3.491295762523e+02,-7.833319428784e+01
1.985992996498e-01,-2.717707916192e+02,-3.498845717186e+02,-7.811378009937e+01
1.990995497749e-01,-2.727427499484e+02,-3.506221617982e+02,-7.787941184977e+01
1.995997998999e-01,-2.737070713091e+02,-3.513426721938e+02,-7.763560088471e+01
2.001000500250e-01,-2.746576622546e+02,-3.520464262148e+02,-7.738876396023e+01
2.006003001501e-01,-2.755911071770e+02,-3.527337443688e+02,-7.714263719174e+01
2.011005502751e-01,-2.765047486978e+02,-3.534049461873e+02,-7.690019748952e+01
2.016008004002e-01,-2.773924996232e+02,-3.540603475286e+02,-7.666784790536e+01
2.021010505253e-01,-2.782560933201e+02,-3.547002613413e+02,-7.644416802117e+01
2.026013006503e-01,-2.790946752611e+02,-3.553249975113e+02,-7.623032225020e+01
2.031015507754e-01,-2.799066360915e+02,-3.559348627201e+02,-7.602822662863e+01
2.036018009005e-01,-2.806958061265e+02,-3.565301603146e+02,-7.583435418806e+01
2.041020510255e-01,-2.814624180825e+02,-3.571111901881e+02,-7.564877210556e+01
2.046023011506e-01,-2.822085456463e+02,-3.576782486720e+02,-7.546970302573e+01
2.051025512756e-01,-2.829375186828e+02,-3.582316284381e+02,-7.529410975531e+01
2.056028014007e-01,-2.836500352911e+02,-3.587716184097e+02,-7.512158311862e+01
2.061030515258e-01,-2.843496761615e+02,-3.592985036835e+02,-7.494882752200e+01
2.066033016508e-01,-2.850395742606e+02,-3.598125654591e+02,-7.477299119855e+01
2.071035517759e-01,-2.857216782125e+02,-3.603140809780e+02,-7.459240276542e+01
2.076038019010e-01,-2.863989150310e+02,-3.608033234701e+02,-7.440440843915e+01
2.081040520260e-01,-2.870735083776e+02,-3.612805621086e+02,-7.420705373093e+01
2.086043021511e-01,-2.877477394432e+02,-3.617460619715e+02,-7.399832252829e+01
2.091045522761e-01,-2.884237782125e+02,-3.622000840108e+02,-7.377630579824e+01
2.096048024012e-01,-2.891035396433e+02,-3.626428850282e+02,-7.353934538491e+01
2.101050525263e-01,-2.897893453961e+02,-3.630747176562e+02,-7.328537226008e+01
2.106053026513e-01,-2.904825264867e+02,-3.634958303467e+02,-7.301330385998e+01
2.111055527764e-01,-2.911865758113e+02,-3.639064673635e+02,-7.271989155216e+01
2.116058029015e-01,-2.919046180825e+02,-3.643068687818e+02,-7.240225069931e+01
2.121060530265e-01,-2.926389736603e+02,-3.646972704908e+02,-7.205829683050e+01
2.126063031516e-01,-2.933964147808e+02,-3.650779042027e+02,-7.168148942186e+01
2.131065532766e-01,-2.941808188829e+02,-3.654489974649e+02,-7.126817858206e+01
2.136068034017e-01,-2.949971158314e+02,-3.658107736768e+02,-7.081365784542e+01
2.141070535268e-01,-2.958560642556e+02,-3.661634521103e+02,-7.030738785477e+01
2.146073036518e-01,-2.967570496483e+02,-3.665072479340e+02,-6.975019828575e+01
2.151075537769e-01,-2.977040987728e+02,-3.668423722404e+02,-6.913827346756e+01
2.156078039020e-01,-2.987019321395e+02,-3.671690320763e+02,-6.846709993675e+01
